,rpmSetPoint,CurrentPeak,UTE,@timestamp,numTP,statoRot,statorCelsius,DIAM,idChiave,bearingsCelsius,ist_acc,spindleRpm,VibromPeak,LUNG
46,18000.0,12.921,DIA12_20-25Z2V,2021-01-21T07:00:07.947Z,1,1,19.0,12.0,3455,17.0,354886,17997.0,1.7,113.199
47,18000.0,13.183,DIA12_20-25Z2V,2021-01-21T07:30:57.667Z,1,1,22.0,12.0,3458,20.0,539855,17995.0,1.7,113.199
48,18000.0,13.041,DIA12_20-25Z2V,2021-01-21T07:32:56.659Z,1,1,23.0,12.0,3460,20.0,551754,18019.0,1.4,113.199
49,18000.0,13.183,DIA12_20-25Z2V,2021-01-21T09:23:06.934Z,1,1,24.0,12.0,3462,21.0,1212770,17994.0,1.8,113.199
50,18000.0,13.381,DIA12_20-25Z2V,2021-01-21T09:57:00.969Z,1,1,23.0,12.0,3464,21.0,1416170,17997.0,1.7,113.199
51,18000.0,13.289,DIA08CANALI,2021-01-21T10:16:14.579Z,1,1,25.0,8.0,3465,22.0,1531529,17979.0,1.1,103.44
52,18000.0,13.105,DIA12_20-25Z2V,2021-01-21T10:25:21.129Z,1,1,25.0,12.0,3466,22.0,1586183,17991.0,1.6,113.199
53,12000.0,13.211,SPIANA80,2021-01-21T10:35:43.570Z,1,1,25.0,80.0,3467,22.0,1648426,12007.0,0.3,109.76
54,18000.0,13.091,DIA1226,2021-01-21T10:47:22.893Z,1,1,31.0,12.0,3468,23.0,1718357,18014.0,1.0,107.629
55,18000.0,13.154,DIA12_20-25Z2V,2021-01-21T11:09:41.807Z,1,1,25.0,12.0,3469,22.0,1852246,17999.0,1.3,113.199
56,18000.0,13.119,FRESA_MDF12,2021-01-21T13:55:59.685Z,1,1,23.0,12.0,3470,21.0,841563,17997.0,0.5,118.379
57,18000.0,13.133,DIA12_20-25Z2V,2021-01-21T15:08:55.037Z,1,1,25.0,12.0,3472,22.0,1278139,17990.0,1.8,113.199
58,18000.0,12.97,DIA12_20-25Z2V,2021-01-21T15:13:50.374Z,1,1,26.0,12.0,3474,23.0,1307608,17985.0,1.9,113.199
59,18000.0,13.091,DIA12_20-25Z2V,2021-01-21T15:48:54.928Z,1,1,25.0,12.0,3475,22.0,1517602,17985.0,1.9,113.199
60,0.0,7.43,,2021-01-22T06:23:40.498Z,,1,0.0,,3476,0.0,90783,0.0,,
61,0.0,3.313,,2021-01-22T06:25:42.377Z,,1,0.0,,3476,0.0,102971,0.0,,
62,0.0,2.984,,2021-01-22T06:27:43.865Z,,1,0.0,,3476,0.0,115120,0.0,,
63,0.0,7.43,,2021-01-22T09:02:02.553Z,,1,0.0,,3487,0.0,1040997,0.0,,
64,0.0,7.414,,2021-01-22T09:05:47.731Z,,1,0.0,,3488,0.0,1063515,0.0,,
65,0.0,7.493,,2021-01-22T13:08:09.172Z,,1,0.0,,3516,0.0,2517670,0.0,,
66,0.0,7.414,,2021-01-22T13:05:55.873Z,,1,0.0,,3515,0.0,2504340,0.0,,
67,0.0,7.446,,2021-01-22T13:09:57.231Z,,1,0.0,,3517,0.0,2528476,0.0,,
68,0.0,7.446,,2021-01-22T13:12:32.910Z,,1,0.0,,3518,0.0,2544044,0.0,,
69,0.0,7.414,,2021-01-22T13:13:25.390Z,,1,0.0,,3519,0.0,2549292,0.0,,
70,0.0,7.461,,2021-01-22T13:15:01.259Z,,1,0.0,,3520,0.0,2558879,0.0,,
71,0.0,7.4,,2021-01-22T15:00:53.713Z,,1,0.0,,3530,0.0,3194129,0.0,,
72,0.0,7.54,,2021-01-25T09:51:13.595Z,,1,0.0,,3549,0.0,1317875,0.0,,
73,0.0,7.508,,2021-01-25T16:54:51.312Z,,1,0.0,,3560,0.0,1951462,0.0,,
74,0.0,8.169,,2021-01-26T07:50:27.551Z,,1,0.0,,3561,0.0,143858,0.0,,
75,0.0,3.737,,2021-01-26T07:52:29.502Z,,1,0.0,,3561,0.0,156054,0.0,,
76,0.0,3.784,,2021-01-26T07:54:30.982Z,,1,0.0,,3561,0.0,168203,0.0,,
77,0.0,7.587,,2021-01-26T11:01:12.137Z,,1,0.0,,3569,0.0,1288401,0.0,,
78,0.0,7.587,,2021-01-26T11:20:36.801Z,,1,0.0,,3571,0.0,1404876,0.0,,
79,0.0,7.493,,2021-01-26T12:33:53.841Z,,1,0.0,,3572,0.0,1844612,0.0,,
80,0.0,2.811,,2021-01-26T12:35:17.775Z,,1,0.0,,3572,0.0,1853006,0.0,,
81,0.0,7.493,,2021-01-26T13:01:54.469Z,,1,0.0,,3574,0.0,2012687,0.0,,
82,0.0,3.848,,2021-01-26T13:02:29.446Z,,1,0.0,,3574,0.0,2016185,0.0,,
83,0.0,2.811,,2021-01-26T13:02:39.646Z,,1,0.0,,3574,0.0,2017205,0.0,,
84,0.0,3.911,,2021-01-26T13:02:45.965Z,,1,0.0,,3574,0.0,2017837,0.0,,
85,0.0,2.858,,2021-01-26T13:03:02.464Z,,1,0.0,,3574,0.0,2019487,0.0,,
86,0.0,3.942,,2021-01-26T13:03:45.731Z,,1,0.0,,3574,0.0,2023814,0.0,,
87,0.0,3.864,,2021-01-26T13:03:32.092Z,,1,0.0,,3574,0.0,2022450,0.0,,
88,0.0,2.764,,2021-01-26T13:04:05.809Z,,1,0.0,,3574,0.0,2025822,0.0,,
89,0.0,2.7,,2021-01-26T13:03:41.821Z,,1,0.0,,3574,0.0,2023423,0.0,,
90,0.0,2.686,,2021-01-26T13:03:55.970Z,,1,0.0,,3574,0.0,2024838,0.0,,
91,0.0,3.566,,2021-01-26T13:03:59.620Z,,1,0.0,,3574,0.0,2025203,0.0,,
92,0.0,7.461,,2021-01-26T13:15:31.470Z,,1,0.0,,3579,0.0,2094393,0.0,,
93,0.0,7.493,,2021-01-26T14:56:27.471Z,,1,0.0,,3585,0.0,2700037,0.0,,
94,0.0,3.754,,2021-01-26T14:57:17.618Z,,1,0.0,,3585,0.0,2705052,0.0,,
95,0.0,2.402,,2021-01-26T14:59:24.159Z,,1,0.0,,3585,0.0,2717707,0.0,,
96,0.0,3.409,,2021-01-26T14:59:29.458Z,,1,0.0,,3585,0.0,2718237,0.0,,
97,0.0,2.276,,2021-01-26T14:59:35.598Z,,1,0.0,,3585,0.0,2718851,0.0,,
98,0.0,3.376,,2021-01-26T14:59:41.267Z,,1,0.0,,3585,0.0,2719418,0.0,,
99,0.0,2.308,,2021-01-26T15:00:28.584Z,,1,0.0,,3585,0.0,2724150,0.0,,
100,0.0,3.329,,2021-01-26T15:00:57.262Z,,1,0.0,,3585,0.0,2727018,0.0,,
101,0.0,2.167,,2021-01-26T15:02:09.637Z,,1,0.0,,3585,0.0,2734256,0.0,,
102,0.0,3.613,,2021-01-26T15:02:14.916Z,,1,0.0,,3585,0.0,2734784,0.0,,
103,0.0,2.182,,2021-01-26T15:02:26.415Z,,1,0.0,,3585,0.0,2735934,0.0,,
104,0.0,3.298,,2021-01-26T15:02:32.065Z,,1,0.0,,3585,0.0,2736499,0.0,,
105,0.0,2.151,,2021-01-26T15:05:51.370Z,,1,0.0,,3585,0.0,2756431,0.0,,
106,0.0,7.461,,2021-01-26T16:04:07.588Z,,1,0.0,,3588,0.0,3106078,0.0,,
107,0.0,2.308,,2021-01-26T16:07:05.475Z,,1,0.0,,3588,0.0,3123868,0.0,,
108,0.0,7.446,,2021-01-27T06:11:12.158Z,,1,0.0,,3591,0.0,15307,0.0,,
109,0.0,3.392,,2021-01-27T06:13:14.060Z,,1,0.0,,3591,0.0,27497,0.0,,
110,0.0,3.094,,2021-01-27T06:15:15.551Z,,1,0.0,,3591,0.0,39646,0.0,,
111,0.0,7.351,,2021-01-27T06:24:54.649Z,,1,0.0,,3592,0.0,97555,0.0,,
112,0.0,3.801,,2021-01-27T06:24:54.969Z,,1,0.0,,3592,0.0,97587,0.0,,
113,0.0,7.414,,2021-01-27T07:03:36.138Z,,1,0.0,,3593,0.0,84048,0.0,,
114,0.0,7.414,,2021-01-27T07:08:02.932Z,,1,0.0,,3595,0.0,110727,0.0,,
115,0.0,7.383,,2021-01-27T07:14:25.299Z,,1,0.0,,3597,0.0,148963,0.0,,
116,0.0,7.4,,2021-01-27T07:15:37.580Z,,1,0.0,,3598,0.0,156191,0.0,,
117,20000.0,13.197,DIA12_16-20Z3V,2021-01-22T06:33:47.201Z,1,1,15.0,12.0,3477,13.0,151454,19993.0,0.4,120.169
118,20000.0,13.076,DIA12_16-20Z3V,2021-01-22T06:45:53.883Z,1,1,17.0,12.0,3478,15.0,224123,19970.0,0.5,120.169
119,20000.0,13.331,DIA12_16-20Z3V,2021-01-22T06:52:59.809Z,1,1,18.0,12.0,3479,16.0,266716,19987.0,0.5,120.169
120,20000.0,13.197,DIA12_16-20Z3V,2021-01-22T07:15:08.436Z,1,1,20.0,12.0,3480,17.0,399580,19966.0,0.5,120.169
121,20000.0,13.183,DIA12_16-20Z3V,2021-01-22T07:46:48.730Z,1,1,22.0,12.0,3481,19.0,589611,20016.0,0.4,120.169
122,20000.0,13.027,DIA12_16-20Z3V,2021-01-22T07:49:47.058Z,1,1,26.0,12.0,3482,21.0,607444,20002.0,0.4,120.169
123,20000.0,13.091,DIA12_16-20Z3V,2021-01-22T07:57:38.504Z,1,1,25.0,12.0,3483,22.0,654589,19980.0,0.4,120.169
124,20000.0,13.076,DIA12_16-20Z3V,2021-01-22T08:08:06.789Z,1,1,26.0,12.0,3484,23.0,717418,19993.0,0.4,120.169
125,20000.0,13.168,DIA12_16-20Z3V,2021-01-22T08:15:20.586Z,1,1,26.0,12.0,3485,23.0,760798,20010.0,0.4,120.169
126,20000.0,12.97,DIA12_16-20Z3V,2021-01-22T08:46:09.861Z,1,1,25.0,12.0,3486,23.0,945727,19970.0,0.5,120.169
127,18000.0,12.956,DIA20_30-40Z2V,2021-01-22T09:48:36.931Z,1,1,24.0,20.0,3489,22.0,1320437,17985.0,0.4,131.029
128,20000.0,13.133,DIA12_16-20Z3V,2021-01-22T10:25:10.215Z,1,1,24.0,12.0,3490,21.0,1539767,19991.0,0.5,120.169
129,20000.0,13.105,DIA12_16-20Z3V,2021-01-22T10:29:18.943Z,1,1,24.0,12.0,3491,21.0,1564640,19972.0,0.7,120.169
130,20000.0,13.062,DIA12_16-20Z3V,2021-01-22T10:40:09.998Z,1,1,25.0,12.0,3492,22.0,1629746,19795.0,0.6,120.169
131,18000.0,12.984,FRESA_MDF12,2021-01-22T10:53:47.352Z,1,1,24.0,12.0,3493,22.0,1711482,17815.0,0.2,118.379
132,12000.0,12.878,C0621_Z2,2021-01-22T10:56:42.670Z,1,1,30.0,6.0,3494,24.0,1729014,11880.0,0.3,106.469
133,18000.0,13.119,FRESA_MDF12,2021-01-22T11:00:31.499Z,1,1,34.0,12.0,3495,24.0,1751897,17812.0,0.6,118.379
134,20000.0,13.225,DIA12_16-20Z3V,2021-01-22T11:13:38.023Z,1,1,24.0,12.0,3496,22.0,1830550,19987.0,0.3,120.169
135,20000.0,13.197,DIA12_16-20Z3V,2021-01-22T11:19:55.090Z,1,1,26.0,12.0,3497,23.0,1868257,19974.0,0.5,120.169
136,18000.0,12.878,DIA1226,2021-01-22T11:25:21.647Z,1,1,26.0,12.0,3498,23.0,1900913,18012.0,0.8,107.629
137,18000.0,12.864,DIA1226,2021-01-22T11:29:21.626Z,1,1,26.0,12.0,3499,23.0,1924911,17992.0,0.6,107.629
138,18000.0,13.062,DIA1226,2021-01-22T11:30:40.755Z,1,1,26.0,12.0,3500,23.0,1932824,18007.0,0.6,107.629
139,18000.0,12.737,DIA1226,2021-01-22T11:31:46.305Z,1,1,27.0,12.0,3501,22.0,1939379,18002.0,0.6,107.629
140,18000.0,12.956,DIA1226,2021-01-22T11:32:57.764Z,1,1,27.0,12.0,3502,23.0,1946525,18007.0,0.6,107.629
141,18000.0,12.63,DIA1226,2021-01-22T11:34:02.334Z,1,1,27.0,12.0,3503,23.0,1952982,18000.0,0.6,107.629
142,18000.0,12.63,DIA1226,2021-01-22T11:36:20.963Z,1,1,28.0,12.0,3505,23.0,1966845,18004.0,0.6,107.629
143,18000.0,13.246,DIA1226,2021-01-22T11:35:17.323Z,1,1,27.0,12.0,3504,23.0,1960481,18007.0,0.6,107.629
144,18000.0,13.197,DIA1226,2021-01-22T11:41:57.270Z,1,1,26.0,12.0,3506,23.0,2000476,18016.0,0.6,107.629
145,18000.0,12.906,DIA1226,2021-01-22T11:57:00.373Z,1,1,23.0,12.0,3507,22.0,2090787,18004.0,0.6,107.629
146,18000.0,13.211,DIA1226,2021-01-22T11:59:29.322Z,1,1,24.0,12.0,3508,22.0,2105682,18005.0,0.6,107.629
147,18000.0,13.211,DIA1226,2021-01-22T12:00:19.672Z,1,1,25.0,12.0,3509,22.0,2110717,18004.0,0.6,107.629
148,18000.0,13.154,DIA1226,2021-01-22T12:01:09.182Z,1,1,26.0,12.0,3510,22.0,2115668,18009.0,0.6,107.629
149,18000.0,12.878,DIA1226,2021-01-22T12:01:58.871Z,1,1,26.0,12.0,3511,22.0,2120637,18002.0,0.6,107.629
150,18000.0,12.984,DIA1226,2021-01-22T12:02:44.921Z,1,1,26.0,12.0,3512,22.0,2125242,18007.0,0.6,107.629
151,18000.0,13.027,DIA1226,2021-01-22T12:03:34.771Z,1,1,26.0,12.0,3513,22.0,2130227,17987.0,0.6,107.629
152,18000.0,13.027,DIA1226,2021-01-22T12:04:30.670Z,1,1,27.0,12.0,3514,23.0,2135817,18002.0,0.6,107.629
153,12000.0,13.353,C0621_Z2,2021-01-22T13:37:22.699Z,1,1,24.0,6.0,3521,22.0,2693024,10006.0,0.3,106.469
154,18000.0,13.26,FRESA_MDF12,2021-01-22T13:38:17.169Z,1,1,26.0,12.0,3522,22.0,2698471,17989.0,0.9,118.379
