,CurrentPeak,statorCelsius,rpmSetPoint,bearingsCelsius,VibromPeak,idChiave,ist_acc,spindleRpm,LUNG,numTP,UTE,@timestamp,statoRot,DIAM
39,11.906,22.0,750.0,20.0,0.1,1031,2901405,745.0,186.0,1,M6,2021-01-22T16:53:20.896Z,1,6.0
40,12.257,22.0,750.0,20.0,0.1,1031,2901902,749.0,186.0,1,M6,2021-01-22T16:53:25.867Z,1,6.0
41,14.378,22.0,0.0,20.0,0.1,1031,2902130,0.0,186.0,1,M6,2021-01-22T16:53:28.147Z,1,6.0
42,12.269,22.0,750.0,20.0,0.1,1031,2902399,754.0,186.0,1,M6,2021-01-22T16:53:30.837Z,1,6.0
43,13.71,22.0,0.0,20.0,0.1,1031,2902627,0.0,186.0,1,M6,2021-01-22T16:53:33.117Z,1,6.0
44,12.304,22.0,750.0,20.0,0.1,1031,2902896,741.0,186.0,1,M6,2021-01-22T16:53:35.807Z,1,6.0
45,13.939,22.0,0.0,20.0,0.1,1031,2901136,0.0,186.0,1,M6,2021-01-22T16:53:18.206Z,1,6.0
46,11.917,22.0,750.0,20.0,0.1,1031,2903393,750.0,186.0,1,M6,2021-01-22T16:53:40.777Z,1,6.0
47,14.46,22.0,0.0,20.0,0.1,1031,2901633,0.0,186.0,1,M6,2021-01-22T16:53:23.177Z,1,6.0
48,13.769,22.0,0.0,20.0,0.1,1031,2903124,0.0,186.0,1,M6,2021-01-22T16:53:38.087Z,1,6.0
49,13.816,23.0,0.0,20.0,0.1,1031,2903621,0.0,186.0,1,M6,2021-01-22T16:53:43.057Z,1,6.0
50,11.953,23.0,750.0,20.0,0.1,1031,2903890,752.0,186.0,1,M6,2021-01-22T16:53:45.747Z,1,6.0
51,6.509,22.0,750.0,20.0,0.1,1031,2900831,750.0,186.0,1,M6,2021-01-22T16:53:15.156Z,1,6.0
52,14.214,23.0,0.0,20.0,0.1,1031,2904118,0.0,186.0,1,M6,2021-01-22T16:53:48.027Z,1,6.0
53,11.917,23.0,750.0,20.0,0.1,1031,2904387,753.0,186.0,1,M6,2021-01-22T16:53:50.717Z,1,6.0
54,14.244,23.0,0.0,20.0,0.1,1031,2904616,0.0,186.0,1,M6,2021-01-22T16:53:53.007Z,1,6.0
55,11.841,23.0,750.0,20.0,0.1,1031,2904884,751.0,186.0,1,M6,2021-01-22T16:53:55.687Z,1,6.0
56,14.197,24.0,0.0,20.0,0.1,1031,2905112,0.0,186.0,1,M6,2021-01-22T16:53:57.967Z,1,6.0
57,11.859,24.0,750.0,20.0,0.1,1031,2905381,749.0,186.0,1,M6,2021-01-22T16:54:00.657Z,1,6.0
