,statorCelsius,LUNG,VibromPeak,spindleRpm,@timestamp,DIAM,ist_acc,idChiave,rpmSetPoint,numTP,bearingsCelsius,CurrentPeak,UTE,statoRot
43,30.0,98.349,2.3,3996.0,2021-07-22T08:22:14.635Z,351.0,3252197,7145,4000.0,1,0.0,27.466,FRESA350,1
44,32.0,98.349,3.4,4001.0,2021-07-22T08:24:55.757Z,351.0,3268309,7145,4000.0,1,0.0,4.495,FRESA350,1
45,30.0,98.349,2.0,4000.0,2021-07-22T08:25:34.058Z,351.0,3272139,7145,4000.0,1,0.0,3.596,FRESA350,1
46,35.0,118.0,1.7,18076.0,2021-07-22T08:28:57.112Z,8.9,3292444,7146,18000.0,1,0.0,29.605,R9MM_25,1
47,32.0,98.349,2.2,3992.0,2021-07-22T08:31:58.345Z,351.0,3310567,7147,4000.0,1,0.0,34.069,FRESA350,1
48,32.0,127.8,0.3,4999.0,2021-07-22T08:32:24.825Z,8.0,3313215,7148,5000.0,1,0.0,30.875,R0MM_53,1
49,29.0,259.7,0.3,2011.0,2021-07-22T08:34:48.128Z,16.0,3327545,7149,2000.0,1,0.0,22.475,TH_16MM_182,1
50,30.0,98.349,2.2,3910.0,2021-07-22T08:43:31.047Z,351.0,3379836,7150,4000.0,1,0.0,34.348,FRESA350,1
51,30.0,98.349,3.5,4000.0,2021-07-22T08:46:12.159Z,351.0,3395947,7150,4000.0,1,0.0,3.224,FRESA350,1
52,30.0,98.349,2.0,3998.0,2021-07-22T08:46:43.270Z,351.0,3399058,7150,4000.0,1,0.0,3.1,FRESA350,1
53,35.0,118.0,1.7,18030.0,2021-07-22T08:50:05.883Z,8.9,3419319,7151,18000.0,1,0.0,36.456,R9MM_25,1
54,30.0,98.349,2.7,3953.0,2021-07-22T08:53:55.307Z,351.0,3442261,7152,4000.0,1,0.0,34.161,FRESA350,1
55,30.0,127.8,0.3,5019.0,2021-07-22T08:54:21.918Z,8.0,3444922,7153,5000.0,1,0.0,33.79,R0MM_53,1
56,27.0,259.7,0.3,2008.0,2021-07-22T09:00:26.804Z,16.0,3481410,7154,2000.0,1,0.0,33.48,TH_16MM_182,1
57,29.0,98.349,2.4,3972.0,2021-07-22T09:09:09.843Z,351.0,3533713,7155,4000.0,1,0.0,30.938,FRESA350,1
58,32.0,98.349,3.5,4001.0,2021-07-22T09:11:50.836Z,351.0,3549812,7155,4000.0,1,0.0,4.061,FRESA350,1
59,32.0,98.349,2.0,3999.0,2021-07-22T09:12:21.966Z,351.0,3552925,7155,4000.0,1,0.0,3.41,FRESA350,1
60,35.0,118.0,1.0,18028.0,2021-07-22T09:15:44.470Z,8.9,3573175,7156,18000.0,1,0.0,37.355,R9MM_25,1
61,25.0,98.349,2.5,3988.0,2021-07-22T23:59:44.706Z,351.0,227884,7157,4000.0,1,0.0,34.999,FRESA350,1
62,27.0,127.8,0.3,5013.0,2021-07-23T00:00:10.697Z,8.0,230483,7158,5000.0,1,0.0,32.519,R0MM_53,1
63,27.0,259.7,0.4,2015.0,2021-07-23T00:03:03.829Z,16.0,247796,7159,2000.0,1,0.0,27.59,TH_16MM_182,1
64,27.0,98.349,2.7,3914.0,2021-07-23T00:12:03.977Z,351.0,301810,7160,4000.0,1,0.0,16.15,FRESA350,1
65,30.0,98.349,4.2,4000.0,2021-07-23T00:13:31.119Z,351.0,310524,7160,4000.0,1,0.0,5.549,FRESA350,1
66,30.0,98.349,2.3,4000.0,2021-07-23T00:14:05.859Z,351.0,313998,7160,4000.0,1,0.0,6.417,FRESA350,1
67,35.0,118.0,1.2,18020.0,2021-07-23T00:17:29.272Z,8.9,334339,7161,18000.0,1,0.0,15.066,R9MM_25,1
68,27.0,98.349,2.5,3969.0,2021-07-23T00:38:31.012Z,351.0,460511,7162,4000.0,1,0.0,35.929,FRESA350,1
69,28.0,127.8,0.5,5004.0,2021-07-23T00:39:04.262Z,8.0,463836,7163,5000.0,1,0.0,27.559,R0MM_53,1
70,27.0,259.7,0.5,1953.0,2021-07-23T00:42:15.575Z,16.0,482967,7164,2000.0,1,0.0,30.41,TH_16MM_182,1
71,29.0,98.349,2.6,3978.0,2021-07-23T00:50:58.673Z,351.0,535276,7165,4000.0,1,0.0,34.813,FRESA350,1
72,30.0,98.349,4.3,3999.0,2021-07-23T00:53:39.606Z,351.0,551369,7165,4000.0,1,0.0,1.116,FRESA350,1
73,30.0,98.349,2.4,3999.0,2021-07-23T00:54:10.776Z,351.0,554486,7165,4000.0,1,0.0,4.898,FRESA350,1
74,34.0,118.0,1.3,18073.0,2021-07-23T00:57:34.039Z,8.9,574812,7166,18000.0,1,0.0,24.211,R9MM_25,1
75,30.0,98.349,2.4,3986.0,2021-07-23T01:00:55.282Z,351.0,594936,7167,4000.0,1,0.0,31.247,FRESA350,1
76,30.0,127.8,0.5,4970.0,2021-07-23T01:01:21.633Z,8.0,597571,7168,5000.0,1,0.0,15.128,R0MM_53,1
77,29.0,259.7,0.6,2007.0,2021-07-23T01:03:24.305Z,16.0,609838,7169,2000.0,1,0.0,38.409,TH_16MM_182,1
78,29.0,98.349,2.4,3997.0,2021-07-23T01:12:07.403Z,351.0,662147,7170,4000.0,1,0.0,15.283,FRESA350,1
79,30.0,98.349,4.1,4000.0,2021-07-23T01:14:52.175Z,351.0,678624,7170,4000.0,1,0.0,3.286,FRESA350,1
80,30.0,98.349,2.1,4000.0,2021-07-23T01:15:30.406Z,351.0,682447,7170,4000.0,1,0.0,3.472,FRESA350,1
81,34.0,118.0,1.1,18075.0,2021-07-23T01:18:53.019Z,8.9,702708,7171,18000.0,1,0.0,22.599,R9MM_25,1
82,30.0,98.349,2.7,3981.0,2021-07-23T01:22:06.072Z,351.0,722013,7172,4000.0,1,0.0,32.457,FRESA350,1
83,30.0,127.8,0.6,5021.0,2021-07-23T01:22:32.583Z,8.0,724664,7173,5000.0,1,0.0,21.917,R0MM_53,1
84,28.0,259.7,0.5,2019.0,2021-07-23T01:25:21.005Z,16.0,741506,7174,2000.0,1,0.0,36.797,TH_16MM_182,1
