,DIAM,rpmSetPoint,statoRot,LUNG,numTP,UTE,ist_acc,CurrentPeak,bearingsCelsius,VibromPeak,idChiave,statorCelsius,spindleRpm,@timestamp
36,20.0,14000.0,1,115.739,1,D20_L9_Z2,1213373,3.876,32.0,0.3,1423,35.0,13816.0,2021-06-29T09:50:51.457Z
37,20.0,14000.0,1,115.739,1,D20_L9_Z2,1239198,3.213,32.0,0.3,1423,36.0,14005.0,2021-06-29T09:55:09.712Z
38,20.0,14000.0,1,115.739,1,D20_L9_Z2,1239387,2.686,32.0,0.3,1423,36.0,14002.0,2021-06-29T09:55:11.602Z
39,20.0,14000.0,1,115.739,1,D20_L9_Z2,1239493,2.431,32.0,0.3,1423,36.0,13868.0,2021-06-29T09:55:12.662Z
40,20.0,14000.0,1,115.739,1,D20_L9_Z2,1239587,3.706,32.0,0.3,1423,35.0,13990.0,2021-06-29T09:55:13.602Z
41,20.0,14000.0,1,115.739,1,D20_L9_Z2,1240390,3.774,32.0,0.3,1423,35.0,13889.0,2021-06-29T09:55:21.632Z
42,20.0,14000.0,1,115.739,1,D20_L9_Z2,1214337,2.839,32.0,0.3,1423,35.0,13872.0,2021-06-29T09:51:01.097Z
43,20.0,14000.0,1,115.739,1,D20_L9_Z2,1232718,3.043,32.0,0.3,1423,35.0,13975.0,2021-06-29T09:54:04.911Z
44,20.0,14000.0,1,115.739,1,D20_L9_Z2,1236670,3.009,32.0,0.3,1423,36.0,13889.0,2021-06-29T09:54:44.431Z
45,20.0,14000.0,1,115.739,1,D20_L9_Z2,1236794,3.791,32.0,0.3,1423,36.0,13999.0,2021-06-29T09:54:45.671Z
46,20.0,14000.0,1,115.739,1,D20_L9_Z2,1246468,3.587,32.0,0.2,1423,35.0,13875.0,2021-06-29T09:56:22.413Z
47,20.0,14000.0,1,115.739,1,D20_L9_Z2,1239251,3.706,32.0,0.3,1423,36.0,13885.0,2021-06-29T09:55:10.242Z
